file,category,severity,finding,matches,points,snippet
web/static/index.html,a11y,medium,ARIA/semantic care exists,226,-8.8,"2,0,.10); } .input::placeholder { color: #A0A7B8; } input[type=""checkbox""]:not(.sr-only) { width: 22px; height: 22px; flex: 0 0 auto; } label:has(input[type=""checkbox"""
web/static/index.html,a11y,medium,Color-only status risk,13,13.81,"); return (v>=0?'+':'')+v.toFixed(2)+'%'; } function pnlClass(n) { return n>=0?'text-emerald-400':'text-red-400'; } function decisionBadge(d) { const r = RATING_MAP[d]; if (r) return `<span class=""badge ${DECISION_"
web/static/index.html,design_system,high,Semantic tokens exist,1058,-22.0,"a+')'; }catch(e){ return hex; } } function applyTheme(){ var ink = cs('--ink','#0E1118'); var faint = cs('--ink-faint','#8890A4'); var rule = cs('-"
web/static/index.html,design_system,medium,Only generic shadcn tokens detected,142,15.09,"E0E2E8'); var raised= cs('--surface-raised','#EDEEF2'); var acc = cs('--accent','#E03E00'); C.defaults.font.family = '""Geist"",""SF Pro Text"",system-ui,san"
web/static/index.html,domain_fit,high,Template nouns dominate over domain nouns,105,16.48,el-fidelity.active { display: flex !important; flex-direction: column; } #panel-dashboard.active { display: flex !important; flex-direction: column; } .fi-pos-card:hover
web/static/premium-static-ui.css,palette,medium,Primary/secondary/accent-only color language,6,11.18,"58, 11, 0.08); --ta-disabled: var(--ink-faint, #736C61); --ta-selected: var(--accent-subtle, rgba(214, 58, 0, 0.09)); /* Motion — purposeful only */ --ta-t-fas"
web/static/premium-static-ui.css,component_cliches,high,Rounded pill badge eyebrow before hero,8,26.43,tes. ──────────────────────────────────────────────────────────────── */ .ta-badge { display: inline-flex; align-items: center; gap: 4px; padding: 2px 7px; border-radius: var(--ta-r-sm); border: 1px solid transparent; font-size: 11px; font-weight: 650; white-s
web/static/premium-static-ui.css,component_cliches,medium,Default card primitives repeated,1,7.3,"ext. ──────────────────────────────────────────────────────────────── */ .ta-card { background: var(--surface, #FCFBFA); border: 1px solid var(--surface-rule, #E2DFD8); border-radius: var(--ta-r-lg); } /* ── BADGE ────────────────────────────────────────"
web/static/premium-static-ui.css,motion,low,Animation exists,5,3.61,"-muted, #534E47); font-size: 12.5px; font-weight: 550; cursor: pointer; transition: background-color var(--ta-t-fast) var(--ta-ease), border-color var("
web/static/premium-static-ui.css,state_depth,medium,Loading state exists,5,-5.5,hover { background: #991b1b; border-color: #991b1b; color: #fff; } /* ── SKELETON / LOADING ──────────────────────────────────────────── Legitimate loading st
web/static/premium-static-ui.css,state_depth,medium,Offline/degraded state exists,1,-1.65,"1d4ed8; --ta-info-soft: rgba(29, 78, 216, 0.09); /* State tokens */ --ta-stale: rgba(245, 158, 11, 0.08); --ta-disabled: var(--ink-faint, #736C61); --t"
web/static/premium-static-ui.css,state_depth,medium,Disabled/busy/success states exist,8,-8.8,"0.09); /* State tokens */ --ta-stale: rgba(245, 158, 11, 0.08); --ta-disabled: var(--ink-faint, #736C61); --ta-selected: var(--accent-subtle, rgba(214, 58,"
web/static/premium-static-ui.css,a11y,critical,Reduced motion support exists,1,-4.4,"──────────────────────────────────────────────────────────────── */ @media (prefers-reduced-motion: reduce) { *, *::before, *::after { scroll-behavior: auto !important;"
web/static/premium-static-ui.css,a11y,high,Keyboard focus treatment exists,2,-5.5,"ar(--ink, #1A1714); } .ta-btn:active { transform: translateY(1px); } .ta-btn:focus-visible { outline: 2px solid var(--accent, #D63A00); outline-offset: 2px; } .ta-bt"
web/static/premium-static-ui.css,design_system,high,Semantic tokens exist,35,-22.0,"State tokens */ --ta-stale: rgba(245, 158, 11, 0.08); --ta-disabled: var(--ink-faint, #736C61); --ta-selected: var(--accent-subtle, rgba(214, 58, 0, 0.09));"
web/static/premium-static-ui.css,design_system,medium,Only generic shadcn tokens detected,6,7.45,"58, 11, 0.08); --ta-disabled: var(--ink-faint, #736C61); --ta-selected: var(--accent-subtle, rgba(214, 58, 0, 0.09)); /* Motion — purposeful only */ --ta-t-fas"
web/static/chart.umd.min.js,component_cliches,high,Rounded pill badge eyebrow before hero,14,30.65,"ern]""===e||""[object CanvasGradient]""===e}return!1}function Qt(t){return Jt(t)?t:new Zt(t)}function te(t){return Jt(t)?t:new Zt(t).saturate(.5).darken(.1).hexString()}const ee=[""x"",""y"",""borderWidth"",""radius"",""tension""],ie=[""color"",""borderColor"",""backgroundColor"
web/static/chart.umd.min.js,motion,low,Animation exists,6,3.81,"),t.describe(""animations"",{_fallback:""animation""}),t.set(""transitions"",{active:{animation:{duration:400}},resize:{animation:{duration:0}},show:{animations:{colors:{from:"""
web/static/chart.umd.min.js,copy,medium,Vague benefit nouns instead of domain language,72,15.21,"on he(t,e){if(!e)return t;const i=e.split(""."");for(let e=0,s=i.length;e t.chart.platform.getDevicePixelRatio(),this.elements={},this.events=[""mousemove"",""mouseout"",""cli"
web/static/chart.umd.min.js,state_depth,medium,Error/retry state exists,2,-3.3,"indow.addEventListener(""test"",null,e),window.removeEventListener(""test"",null,e)}catch(t){}return t}();function Pe(t,e){const i=be(t,e),s=i&&i.match(/^(\d+)(\.\d+)?px$"
web/static/chart.umd.min.js,state_depth,medium,Disabled/busy/success states exist,3,-3.3,"enabled. Please import and register the 'Filler' plugin and make sure it is not disabled in the options"")}updateIndex(t){this.index!==t&&Vs(this._cachedMeta),this.index"
web/static/chart.umd.min.js,domain_fit,high,Template nouns dominate over domain nouns,14,10.79,"0,0,0,0.1)"",this.color=""#666"",this.datasets={},this.devicePixelRatio=t=>t.chart.platform.getDevicePixelRatio(),this.elements={},this.events=[""mousemove"",""mouseout"",""cli"
web/static/marked.min.js,state_depth,medium,Error/retry state exists,4,-6.6,"s)}parseMarkdown(e){return(n,s)=>{let i={...s},r={...this.defaults,...i},o=this.onError(!!r.silent,!!r.async);if(this.defaults.async===!0&&i.async===!1)return o(new Er"
web/static/marked.min.js,state_depth,medium,Disabled/busy/success states exist,1,-1.1,"e),`<li>${t}</li> `}checkbox({checked:e}){return""<input ""+(e?'checked="""" ':"""")+'disabled="""" type=""checkbox"">'}paragraph({tokens:e}){return`<p>${this.parser.parseInline("
web/static/marked.min.js,a11y,medium,ARIA/semantic care exists,1,-1.1,"er.textRenderer));let i=V(e);if(i===null)return R(n);e=i;let r=`<img src=""${e}"" alt=""${n}""`;return t&&(r+=` title=""${R(t)}""`),r+="">"",r}text(e){return""tokens""in e&&e"
web/static/premium-static-ui.js,palette,medium,Primary/secondary/accent-only color language,1,6.43,"CFBFA)"", color: ""var(--ink, #1A1714)"", confirmButtonColor: ""var(--accent, #D63A00)"", cancelButtonColor: ""var(--surface-raised, #EBE9E4)"","
web/static/premium-static-ui.js,motion,low,Animation exists,1,2.19,"py(""[data-tippy-content], [data-tooltip]"", { theme: ""light-border"", animation: ""shift-away-subtle"", delay: [120, 40], duration: [140, 100],"
web/static/premium-static-ui.js,typography,medium,Default modern font stack only,1,4.28,"""rgba(113, 108, 97, 0.13)""; window.Chart.defaults.font.family = '""Geist"", ui-sans-serif, system-ui, -apple-system, BlinkMacSystemFont, ""Segoe UI"", sans-serif'; if (window.Chart.defaults.plugins && window.Chart.defaults.plugi"
web/static/premium-static-ui.js,state_depth,medium,Loading state exists,1,-1.1,"==== */ (function () { function ready(fn) { if (document.readyState !== ""loading"") fn(); else document.addEventListener(""DOMContentLoaded"", fn); } func"
web/static/premium-static-ui.js,state_depth,medium,Disabled/busy/success states exist,3,-3.3,"pple: false, dismissible: true, types: [ { type: ""success"", background: ""#047857"", icon: false }, {"
web/static/premium-static-ui.js,design_system,high,Semantic tokens exist,5,-13.75,"s.color = getComputedStyle(document.documentElement) .getPropertyValue(""--ink-faint"") .trim() || ""#736C61""; window.Chart.defaults.borderColor"
web/static/premium-static-ui.js,design_system,medium,Only generic shadcn tokens detected,1,4.28,"CFBFA)"", color: ""var(--ink, #1A1714)"", confirmButtonColor: ""var(--accent, #D63A00)"", cancelButtonColor: ""var(--surface-raised, #EBE9E4)"","
web/static/chartjs-financial.min.js,component_cliches,high,Rounded pill badge eyebrow before hero,1,13.99,"_js.defaults.elements.candlestick.backgroundColors.unchanged); } ctx.lineWidth = helpers.valueOrDefault(me.options.borderWidth, chart_js.defaults.elements.candlestick.borderWidth); ctx.strokeStyle = borderColor; ctx.beginPath(); ctx.moveTo("
web/static/chartjs-financial.min.js,copy,medium,Vague benefit nouns instead of domain language,9,9.49,"e._cachedMeta.iScale.getLabelForValue(parsed[axis])}`, value }; } getUserBounds(scale) { const {min, max, minDefined, maxDefined} = scale.getUserBounds(); return { m"
.agents/skills/impeccable/scripts/live-accept.mjs,state_depth,medium,Error/retry state exists,1,-1.65,"file's flavor — JSX files // need the object form, otherwise React 19 throws ""Failed to set indexed // property [0] on CSSStyleDeclaration"" while parsing the string"
.agents/skills/impeccable/scripts/command-metadata.json,surface,medium,Noise/grid overlay without product reason,1,6.35,"ple, powerful, and clean. Use when the user asks to simplify, declutter, reduce noise, remove elements, or make a UI cleaner and more focused."", ""argumentHint"":"
.agents/skills/impeccable/scripts/command-metadata.json,motion,medium,Scroll reveal / reveal-on-view trope,1,8.47,"technically ambitious implementations — shaders, spring physics, scroll-driven reveals, 60fps animations. Use when the user wants to wow, impress, go all-out, or mak"
.agents/skills/impeccable/scripts/command-metadata.json,motion,low,Animation exists,2,2.36,"ts a faster, smoother experience."", ""argumentHint"": ""[target]"" }, ""overdrive"": { ""description"": ""Pushes interfaces past conventional limits with technic"
.agents/skills/impeccable/scripts/command-metadata.json,copy,critical,Generic AI/SaaS hype copy,4,22.02,"hes that make interfaces memorable and enjoyable to use. Elevates functional to delightful. Use when the user asks to add polish, personality, animations, micro-interacti"
.agents/skills/impeccable/scripts/command-metadata.json,copy,high,Landing-page section boilerplate,2,12.07,"gumentHint"": ""[target]"" }, ""colorize"": { ""description"": ""Add strategic color to features that are too monochromatic or lack visual interest, making interfaces more enga"
.agents/skills/impeccable/scripts/command-metadata.json,copy,medium,Vague benefit nouns instead of domain language,10,8.49,", ""audit"": { ""description"": ""Run technical quality checks across accessibility, performance, theming, responsive design, and anti-patterns. Generates a scored report with"
.agents/skills/impeccable/scripts/command-metadata.json,state_depth,medium,Loading state exists,1,-1.1,", ""optimize"": { ""description"": ""Diagnoses and fixes UI performance across loading speed, rendering, animations, images, and bundle size. Use when the user mentio"
.agents/skills/impeccable/scripts/command-metadata.json,domain_fit,high,Template nouns dominate over domain nouns,2,5.31,"nt"": ""[target]"" }, ""colorize"": { ""description"": ""Add strategic color to features that are too monochromatic or lack visual interest, making interfaces more enga"
.agents/skills/impeccable/scripts/detect-csp.mjs,motion,low,Animation exists,1,1.9,"ep-based) — no network, * no dev server, no JS evaluation. The classification drives a user-facing * consent prompt; the agent does the actual patch writing. *"
.agents/skills/impeccable/scripts/live-poll.mjs,motion,low,Animation exists,2,2.36,"o one. Modes: poll Block until a browser event arrives, print JSON poll --reply <id> done Reply ""done"" to event <id> po"
.agents/skills/impeccable/scripts/live-poll.mjs,state_depth,medium,Disabled/busy/success states exist,1,-1.1,"ply(base, info.token, { id, type: status, message, file: filePath }); // Success — silent exit (agent doesn't need output for replies) } catch (err) {"
.agents/skills/impeccable/scripts/live-status.mjs,state_depth,medium,Loading state exists,2,-2.2,"activeSessions, recoveryHint: server ? 'Run live-poll.mjs to continue pending work, or live-complete.mjs --id <session> after manual cleanup.' : 'Start"
.agents/skills/impeccable/scripts/live-wrap.mjs,component_cliches,critical,shadcn/ui default gravity,1,20.0,lasses/tag match multiple sibling elements (e.g. a list of <Card>s with the same className). Pass the first ~80 chars of ev
.agents/skills/impeccable/scripts/live-wrap.mjs,motion,low,Animation exists,5,3.14,"up in a generated file? That // tells the agent ""fall back to the agent-driven flow"" vs ""element just // doesn't exist in this project."" let gene"
.agents/skills/impeccable/scripts/live-wrap.mjs,copy,medium,Vague benefit nouns instead of domain language,2,5.25,"rop supplied to React.Fragment"" when // they try to pass an `id` through. // // Solution: keep the wrapper ` ` as the single JSX-slot child and // tuck both marker comm"
.agents/skills/impeccable/scripts/live-wrap.mjs,domain_fit,high,Template nouns dominate over domain nouns,1,4.28,"pplied to React.Fragment"" when // they try to pass an `id` through. // // Solution: keep the wrapper `<div>` as the single JSX-slot child and // tuck both marke"
.agents/skills/impeccable/scripts/design-parser.mjs,state_depth,medium,Disabled/busy/success states exist,1,-1.1,properties. if (/^(primary|secondary|tertiary|ghost|hover|focus|active|disabled|default|error|selected|unselected|state)$/i.test(key.split(/[\s/]/)[0])) {
.agents/skills/impeccable/scripts/live.mjs,palette,medium,Primary/secondary/accent-only color language,1,5.59,"file */ } // Start a new server const out = runScript('live-server.mjs', ['--background']); return safeParse(out); } // --------------------------------------------"
.agents/skills/impeccable/scripts/live.mjs,copy,critical,Generic AI/SaaS hype copy,2,17.71,point: prepare everything needed to enter the live variant poll loop. * * Does (all in one command): * 1. Check .impeccable/live/config.json (returns config_missing if fi
.agents/skills/impeccable/scripts/live.mjs,state_depth,medium,Offline/degraded state exists,1,-1.65,"existing.pid, 0); // throws if dead return existing; } catch { /* stale PID file — the server script will clean it up */ } } } catch { /* no PID"
.agents/skills/impeccable/scripts/live.mjs,state_depth,medium,Disabled/busy/success states exist,2,-2.2,"the browser script tag - Reads PRODUCT.md / DESIGN.md for project context On success, prints a JSON blob with: { ok, serverPort, serverToken, pageFile, hasContext"
.agents/skills/impeccable/scripts/live.mjs,design_system,medium,Only generic shadcn tokens detected,1,3.72,"file */ } // Start a new server const out = runScript('live-server.mjs', ['--background']); return safeParse(out); } // --------------------------------------------"
.agents/skills/impeccable/scripts/critique-storage.mjs,motion,low,Animation exists,2,2.36,"* fix backlog. No other skill auto-reads critique output. * * The slug is derived mechanically from the *resolved* primary artifact * (file path or URL), never"
.agents/skills/impeccable/scripts/live-browser.js,palette,medium,AI candy accent overload,1,5.59,// Custom focus-visible for bar buttons. Browser default is a heavy // blue ring that looks jarring on the dark capsule. Replace with a // soft accent-tinted inner ring that r
.agents/skills/impeccable/scripts/live-browser.js,component_cliches,high,Rounded pill badge eyebrow before hero,3,17.15,"'flex', alignItems: 'center', gap: '4px', }); // Action pill const pill = el('button', { display: 'inline-flex', alignItems: 'center', gap: '4px', padding: '5px 10px', borderRadius: '6px', background: BP.mark, color: BP.markText, fontFamily:"
.agents/skills/impeccable/scripts/live-browser.js,component_cliches,medium,Default card primitives repeated,5,10.47,"accept.style.pointerEvents = 'none'; } row.appendChild(accept); // Discard const discard = el('button', { padding: '4px 6px', borderRadius: '5px', border: '1px solid ' + BP.hairline, background: 'transparent', fontFamily: FONT,"
.agents/skills/impeccable/scripts/live-browser.js,motion,medium,Scroll reveal / reveal-on-view trope,7,15.4,"m trickery. The mask // hides everything initially; as it grows, content is revealed from // the bar edge outward. paramsPanelEl = document.createElement("
.agents/skills/impeccable/scripts/live-browser.js,motion,low,Animation exists,82,6.1,"g ${ICON_ATTRS}><path d=""M12 3l2 6 6 2-6 2-2 6-2-6-6-2 6-2z""/></svg>`, overdrive: `<svg ${ICON_ATTRS}><path d=""M13 3L5 13h5l-1 8 9-12h-6z""/></svg>`, }; co"
